fold,epoch,train.mae_xy_radial,train.mae_dbh,train.rmse_x,train.rmse_y,train.rmse_dbh,train.xy_loss_unweighted,train.xy_mean_euclidean_error,train.dbh_loss_unweighted,train.xy_loss_weighted,train.dbh_loss_weighted,train.total_loss,train.loss,val.mae_xy_radial,val.mae_dbh,val.rmse_x,val.rmse_y,val.rmse_dbh,val.xy_loss_unweighted,val.xy_mean_euclidean_error,val.dbh_loss_unweighted,val.xy_loss_weighted,val.dbh_loss_weighted,val.total_loss,val.loss
0,1,1.3331010341644287,0.23289677500724792,2.47763991355896,1.7939200401306152,0.3165819048881531,9.356849670410156,1.3331010341644287,0.049543581902980804,9.356849670410156,0.049543581902980804,9.406393051147461,9.4063924852624,1.1541889905929565,0.15592247247695923,1.8578506708145142,1.4677863121032715,0.21313396096229553,5.606006145477295,1.1541889905929565,0.022713040933012962,5.606006145477295,0.022713040933012962,5.628719329833984,5.628719606915036
0,2,1.2393367290496826,0.16134394705295563,2.4919145107269287,1.7652748823165894,0.21558773517608643,9.325833320617676,1.2393367290496826,0.023218976333737373,9.325833320617676,0.023218976333737373,9.349052429199219,9.349052024174886,1.1507670879364014,0.12363678961992264,1.8860713243484497,1.4432916641235352,0.15498465299606323,5.640356540679932,1.1507670879364014,0.012010122649371624,5.640356540679932,0.012010122649371624,5.652366638183594,5.652366599521121
0,3,1.2073954343795776,0.16209077835083008,2.4464070796966553,1.69944167137146,0.21421034634113312,8.87300968170166,1.2073954343795776,0.02278248406946659,8.87300968170166,0.02278248406946659,8.895792007446289,8.89579258625766,1.1243023872375488,0.12879644334316254,1.8471952676773071,1.4009811878204346,0.1637231409549713,5.374878406524658,1.1243023872375488,0.013402632437646389,5.374878406524658,0.013402632437646389,5.388280868530273,5.38828158861882
0,4,1.1989270448684692,0.1532163769006729,2.474874496459961,1.7209244966506958,0.20228470861911774,9.08658504486084,1.1989270448684692,0.020459551364183426,9.08658504486084,0.020459551364183426,9.107044219970703,9.107044646538883,1.0378268957138062,0.12326934933662415,1.6240618228912354,1.4044537544250488,0.1680976003408432,4.6100664138793945,1.0378268957138062,0.01412840187549591,4.6100664138793945,0.01412840187549591,4.624194622039795,4.624195374347068
0,5,1.1969369649887085,0.14572188258171082,2.555798053741455,1.723075270652771,0.19418871402740479,9.501091003417969,1.1969369649887085,0.018850257620215416,9.501091003417969,0.018850257620215416,9.519941329956055,9.519942098353283,1.0858646631240845,0.13524609804153442,1.8194713592529297,1.4336072206497192,0.17805343866348267,5.365705966949463,1.0858646631240845,0.015851514413952827,5.365705966949463,0.015851514413952827,5.381557464599609,5.381557224570094
0,6,1.176772117614746,0.13675037026405334,2.496243715286255,1.6802978515625,0.18018373847007751,9.054633140563965,1.176772117614746,0.016233090311288834,9.054633140563965,0.016233090311288834,9.070866584777832,9.070866560361472,1.2000690698623657,0.131150484085083,1.9476306438446045,1.4223196506500244,0.17333094775676727,5.816257953643799,1.2000690698623657,0.01502180751413107,5.816257953643799,0.01502180751413107,5.831279754638672,5.831279409898294
0,7,1.2260490655899048,0.13261838257312775,2.4821338653564453,1.6400015354156494,0.17428642511367798,8.850593566894531,1.2260490655899048,0.015187096782028675,8.850593566894531,0.015187096782028675,8.8657808303833,8.865781020687287,1.2005584239959717,0.13132530450820923,2.088925838470459,1.5210461616516113,0.16642418503761292,6.677192211151123,1.2005584239959717,0.013848504051566124,6.677192211151123,0.013848504051566124,6.691040515899658,6.691040683437038
0,8,1.1779286861419678,0.13260667026042938,2.39426589012146,1.7255014181137085,0.16980603337287903,8.709863662719727,1.1779286861419678,0.014417044818401337,8.709863662719727,0.014417044818401337,8.72428035736084,8.724281135811863,1.0953518152236938,0.12462542206048965,1.7796189785003662,1.5950909852981567,0.15010960400104523,5.71135950088501,1.0953518152236938,0.011266447603702545,5.71135950088501,0.011266447603702545,5.722625732421875,5.722625850020228
0,9,1.2061736583709717,0.1294882446527481,2.478330373764038,1.6494735479354858,0.17131194472312927,8.862884521484375,1.2061736583709717,0.014664922840893269,8.862884521484375,0.014664922840893269,8.877549171447754,8.877549671983145,1.261086106300354,0.1391526609659195,1.9212226867675781,1.5831685066223145,0.18974187970161438,6.197518348693848,1.261086106300354,0.01800099015235901,6.197518348693848,0.01800099015235901,6.215519428253174,6.215519592568681
0,10,1.19281005859375,0.12630479037761688,2.37687087059021,1.7058359384536743,0.16269227862358093,8.559391021728516,1.19281005859375,0.013232944533228874,8.559391021728516,0.013232944533228874,8.572624206542969,8.572624266865741,1.1033717393875122,0.11846846342086792,1.7392139434814453,1.623267650604248,0.1490602046251297,5.659862995147705,1.1033717393875122,0.011109472252428532,5.659862995147705,0.011109472252428532,5.6709723472595215,5.670972830540425
0,11,1.2592235803604126,0.125826895236969,2.3705947399139404,1.5619878768920898,0.16273581981658936,8.059526443481445,1.2592235803604126,0.013241474516689777,8.059526443481445,0.013241474516689777,8.072768211364746,8.072767638298401,1.3239856958389282,0.12050007283687592,2.3922343254089355,1.7449822425842285,0.15975850820541382,8.76774787902832,1.3239856958389282,0.012761391699314117,8.76774787902832,0.012761391699314117,8.780508995056152,8.780509227030986
0,12,1.1971063613891602,0.12447211146354675,2.303584337234497,1.7049912214279175,0.15775643289089203,8.213497161865234,1.1971063613891602,0.012443545274436474,8.213497161865234,0.012443545274436474,8.225940704345703,8.22593983971929,1.3562370538711548,0.12176186591386795,1.4914979934692383,1.7783644199371338,0.1477535516023636,5.387146949768066,1.3562370538711548,0.01091555692255497,5.387146949768066,0.01091555692255497,5.398062705993652,5.398062293593948
0,13,1.186825156211853,0.11441521346569061,2.3818650245666504,1.6904469728469849,0.1463998258113861,8.530892372131348,1.186825156211853,0.0107164541259408,8.530892372131348,0.0107164541259408,8.541608810424805,8.541609040225845,1.1183974742889404,0.1263924539089203,1.5809074640274048,1.4588541984558105,0.1568385362625122,4.627523899078369,1.1183974742889404,0.01229916326701641,4.627523899078369,0.01229916326701641,4.639822959899902,4.639823108106046
0,14,1.1931661367416382,0.12060435116291046,2.410372495651245,1.635582685470581,0.15220798552036285,8.485025405883789,1.1931661367416382,0.011583634652197361,8.485025405883789,0.011583634652197361,8.49660873413086,8.496610222092594,1.2066318988800049,0.11715338379144669,2.1828954219818115,1.678635597229004,0.15426820516586304,7.582849502563477,1.2066318988800049,0.011899339035153389,7.582849502563477,0.011899339035153389,7.5947489738464355,7.59474848734366
