X Y Z
431589.3892965326 5304022.883346204 1054.9497396972658
431589.3887570813 5304022.895701671 1054.9497396972658
431589.3871428327 5304022.907963106 1054.9497396972658
431589.3844660724 5304022.920037192 1054.9497396972658
431589.380747172 5304022.931832037 1054.9497396972658
431589.37601443473 5304022.943257876 1054.9497396972658
431589.3703038796 5304022.95422775 1054.9497396972658
431589.3636589672 5304022.964658173 1054.9497396972658
431589.35613026936 5304022.974469763 1054.9497396972658
431589.34777508414 5304022.983587848 1054.9497396972658
431589.33865699946 5304022.9919430325 1054.9497396972658
431589.3288454095 5304022.999471731 1054.9497396972658
431589.3184149864 5304023.006116643 1054.9497396972658
431589.3074451119 5304023.011827198 1054.9497396972658
431589.2960192733 5304023.016559935 1054.9497396972658
431589.2842244284 5304023.020278836 1054.9497396972658
431589.2721503428 5304023.022955596 1054.9497396972658
431589.2598889078 5304023.024569845 1054.9497396972658
431589.2475334402 5304023.025109296 1054.9497396972658
431589.2351779726 5304023.024569845 1054.9497396972658
431589.2229165376 5304023.022955596 1054.9497396972658
431589.210842452 5304023.020278836 1054.9497396972658
431589.199047607 5304023.016559935 1054.9497396972658
431589.1876217685 5304023.011827198 1054.9497396972658
431589.176651894 5304023.006116643 1054.9497396972658
431589.16622147086 5304022.999471731 1054.9497396972658
431589.1564098809 5304022.9919430325 1054.9497396972658
431589.1472917962 5304022.983587848 1054.9497396972658
431589.138936611 5304022.974469763 1054.9497396972658
431589.1314079132 5304022.964658173 1054.9497396972658
431589.1247630008 5304022.95422775 1054.9497396972658
431589.1190524456 5304022.943257876 1054.9497396972658
431589.1143197084 5304022.931832037 1054.9497396972658
431589.110600808 5304022.920037192 1054.9497396972658
431589.1079240477 5304022.907963106 1054.9497396972658
431589.1063097991 5304022.895701671 1054.9497396972658
431589.10577034776 5304022.883346204 1054.9497396972658
431589.1063097991 5304022.870990736 1054.9497396972658
431589.1079240477 5304022.858729301 1054.9497396972658
431589.110600808 5304022.846655215 1054.9497396972658
431589.1143197084 5304022.8348603705 1054.9497396972658
431589.1190524456 5304022.823434532 1054.9497396972658
431589.1247630008 5304022.812464657 1054.9497396972658
431589.1314079132 5304022.802034235 1054.9497396972658
431589.138936611 5304022.792222644 1054.9497396972658
431589.1472917962 5304022.783104559 1054.9497396972658
431589.1564098809 5304022.774749375 1054.9497396972658
431589.16622147086 5304022.767220677 1054.9497396972658
431589.176651894 5304022.760575765 1054.9497396972658
431589.1876217685 5304022.75486521 1054.9497396972658
431589.199047607 5304022.750132472 1054.9497396972658
431589.210842452 5304022.746413572 1054.9497396972658
431589.2229165376 5304022.743736811 1054.9497396972658
431589.2351779726 5304022.742122563 1054.9497396972658
431589.2475334402 5304022.741583112 1054.9497396972658
431589.2598889078 5304022.742122563 1054.9497396972658
431589.2721503428 5304022.743736811 1054.9497396972658
431589.2842244284 5304022.746413572 1054.9497396972658
431589.2960192733 5304022.750132472 1054.9497396972658
431589.3074451119 5304022.75486521 1054.9497396972658
431589.3184149864 5304022.760575765 1054.9497396972658
431589.3288454095 5304022.767220677 1054.9497396972658
431589.33865699946 5304022.774749375 1054.9497396972658
431589.34777508414 5304022.783104559 1054.9497396972658
431589.35613026936 5304022.792222644 1054.9497396972658
431589.3636589672 5304022.802034235 1054.9497396972658
431589.3703038796 5304022.812464657 1054.9497396972658
431589.37601443473 5304022.823434532 1054.9497396972658
431589.380747172 5304022.8348603705 1054.9497396972658
431589.3844660724 5304022.846655215 1054.9497396972658
431589.3871428327 5304022.858729301 1054.9497396972658
431589.3887570813 5304022.870990736 1054.9497396972658
431616.4161374744 5304058.064214443 1057.315767529297
431616.4158302549 5304058.071250928 1057.315767529297
431616.4149109344 5304058.07823386 1057.315767529297
431616.4133865095 5304058.085110096 1057.315767529297
431616.411268582 5304058.091827304 1057.315767529297
431616.4085732706 5304058.098334361 1057.315767529297
431616.4053210883 5304058.104581745 1057.315767529297
431616.4015367862 5304058.11052191 1057.315767529297
431616.3972491649 5304058.116109647 1057.315767529297
431616.3924908561 5304058.12130243 1057.315767529297
431616.3872980732 5304058.126060738 1057.315767529297
431616.3817103364 5304058.130348359 1057.315767529297
431616.37577017193 5304058.134132662 1057.315767529297
431616.3695227879 5304058.137384844 1057.315767529297
431616.3630157306 5304058.140080156 1057.315767529297
431616.3562985228 5304058.142198083 1057.315767529297
431616.3494222865 5304058.143722508 1057.315767529297
431616.34243935393 5304058.144641829 1057.315767529297
431616.33540286944 5304058.144949048 1057.315767529297
431616.32836638496 5304058.144641829 1057.315767529297
431616.3213834524 5304058.143722508 1057.315767529297
431616.3145072161 5304058.142198083 1057.315767529297
431616.30779000826 5304058.140080156 1057.315767529297
431616.301282951 5304058.137384844 1057.315767529297
431616.29503556696 5304058.134132662 1057.315767529297
431616.28909540246 5304058.130348359 1057.315767529297
431616.2835076657 5304058.126060738 1057.315767529297
431616.2783148828 5304058.12130243 1057.315767529297
431616.273556574 5304058.116109647 1057.315767529297
431616.2692689527 5304058.11052191 1057.315767529297
431616.26548465056 5304058.104581745 1057.315767529297
431616.2622324683 5304058.098334361 1057.315767529297
431616.2595371569 5304058.091827304 1057.315767529297
431616.2574192294 5304058.085110096 1057.315767529297
431616.25589480455 5304058.07823386 1057.315767529297
431616.254975484 5304058.071250928 1057.315767529297
431616.2546682645 5304058.064214443 1057.315767529297
431616.254975484 5304058.057177958 1057.315767529297
431616.25589480455 5304058.050195026 1057.315767529297
431616.2574192294 5304058.043318789 1057.315767529297
431616.2595371569 5304058.036601582 1057.315767529297
431616.2622324683 5304058.030094525 1057.315767529297
431616.26548465056 5304058.02384714 1057.315767529297
431616.2692689527 5304058.017906976 1057.315767529297
431616.273556574 5304058.012319239 1057.315767529297
431616.2783148828 5304058.007126456 1057.315767529297
431616.2835076657 5304058.002368148 1057.315767529297
431616.28909540246 5304057.998080527 1057.315767529297
431616.29503556696 5304057.994296224 1057.315767529297
431616.301282951 5304057.991044042 1057.315767529297
431616.30779000826 5304057.98834873 1057.315767529297
431616.3145072161 5304057.986230803 1057.315767529297
431616.3213834524 5304057.984706378 1057.315767529297
431616.32836638496 5304057.983787057 1057.315767529297
431616.33540286944 5304057.983479838 1057.315767529297
431616.34243935393 5304057.983787057 1057.315767529297
431616.3494222865 5304057.984706378 1057.315767529297
431616.3562985228 5304057.986230803 1057.315767529297
431616.3630157306 5304057.98834873 1057.315767529297
431616.3695227879 5304057.991044042 1057.315767529297
431616.37577017193 5304057.994296224 1057.315767529297
431616.3817103364 5304057.998080527 1057.315767529297
431616.3872980732 5304058.002368148 1057.315767529297
431616.3924908561 5304058.007126456 1057.315767529297
431616.3972491649 5304058.012319239 1057.315767529297
431616.4015367862 5304058.017906976 1057.315767529297
431616.4053210883 5304058.02384714 1057.315767529297
431616.4085732706 5304058.030094525 1057.315767529297
431616.411268582 5304058.036601582 1057.315767529297
431616.4133865095 5304058.043318789 1057.315767529297
431616.4149109344 5304058.050195026 1057.315767529297
431616.4158302549 5304058.057177958 1057.315767529297
431689.9090863561 5304026.370523181 1053.295747998047
431689.9082660943 5304026.389310267 1053.295747998047
431689.9058115513 5304026.407954371 1053.295747998047
431689.9017414079 5304026.426313601 1053.295747998047
431689.89608664025 5304026.444248233 1053.295747998047
431689.8888902845 5304026.4616217725 1053.295747998047
431689.8802071094 5304026.478301997 1053.295747998047
431689.870103199 5304026.49416196 1053.295747998047
431689.85865545017 5304026.509080956 1053.295747998047
431689.8459509873 5304026.522945444 1053.295747998047
431689.83208649897 5304026.535649908 1053.295747998047
431689.8171675023 5304026.547097656 1053.295747998047
431689.8013075399 5304026.557201566 1053.295747998047
431689.7846273156 5304026.565884742 1053.295747998047
431689.767253776 5304026.573081098 1053.295747998047
431689.7493191443 5304026.578735865 1053.295747998047
431689.73095991375 5304026.582806009 1053.295747998047
431689.7123158092 5304026.585260551 1053.295747998047
431689.69352872367 5304026.586080813 1053.295747998047
431689.6747416381 5304026.585260551 1053.295747998047
431689.6560975336 5304026.582806009 1053.295747998047
431689.6377383031 5304026.578735865 1053.295747998047
431689.6198036713 5304026.573081098 1053.295747998047
431689.60243013175 5304026.565884742 1053.295747998047
431689.5857499074 5304026.557201566 1053.295747998047
431689.569889945 5304026.547097656 1053.295747998047
431689.5549709484 5304026.535649908 1053.295747998047
431689.54110646 5304026.522945444 1053.295747998047
431689.5284019972 5304026.509080956 1053.295747998047
431689.5169542484 5304026.49416196 1053.295747998047
431689.506850338 5304026.478301997 1053.295747998047
431689.4981671628 5304026.4616217725 1053.295747998047
431689.4909708071 5304026.444248233 1053.295747998047
431689.4853160394 5304026.426313601 1053.295747998047
431689.481245896 5304026.407954371 1053.295747998047
431689.47879135306 5304026.389310267 1053.295747998047
431689.4779710912 5304026.370523181 1053.295747998047
431689.47879135306 5304026.351736095 1053.295747998047
431689.481245896 5304026.333091991 1053.295747998047
431689.4853160394 5304026.31473276 1053.295747998047
431689.4909708071 5304026.296798129 1053.295747998047
431689.4981671628 5304026.279424589 1053.295747998047
431689.506850338 5304026.262744364 1053.295747998047
431689.5169542484 5304026.246884402 1053.295747998047
431689.5284019972 5304026.231965406 1053.295747998047
431689.54110646 5304026.2181009175 1053.295747998047
431689.5549709484 5304026.205396454 1053.295747998047
431689.569889945 5304026.193948706 1053.295747998047
431689.5857499074 5304026.183844795 1053.295747998047
431689.60243013175 5304026.17516162 1053.295747998047
431689.6198036713 5304026.167965264 1053.295747998047
431689.6377383031 5304026.162310497 1053.295747998047
431689.6560975336 5304026.158240353 1053.295747998047
431689.6747416381 5304026.15578581 1053.295747998047
431689.69352872367 5304026.154965549 1053.295747998047
431689.7123158092 5304026.15578581 1053.295747998047
431689.73095991375 5304026.158240353 1053.295747998047
431689.7493191443 5304026.162310497 1053.295747998047
431689.767253776 5304026.167965264 1053.295747998047
431689.7846273156 5304026.17516162 1053.295747998047
431689.8013075399 5304026.183844795 1053.295747998047
431689.8171675023 5304026.193948706 1053.295747998047
431689.83208649897 5304026.205396454 1053.295747998047
431689.8459509873 5304026.2181009175 1053.295747998047
431689.85865545017 5304026.231965406 1053.295747998047
431689.870103199 5304026.246884402 1053.295747998047
431689.8802071094 5304026.262744364 1053.295747998047
431689.8888902845 5304026.279424589 1053.295747998047
431689.89608664025 5304026.296798129 1053.295747998047
431689.9017414079 5304026.31473276 1053.295747998047
431689.9058115513 5304026.333091991 1053.295747998047
431689.9082660943 5304026.351736095 1053.295747998047
431667.4700722365 5304046.126972311 1054.148775341797
431667.4693476689 5304046.143567638 1054.148775341797
431667.4671794805 5304046.160036663 1054.148775341797
431667.4635841727 5304046.176254049 1054.148775341797
431667.4585891077 5304046.192096371 1054.148775341797
431667.45223230106 5304046.207443059 1054.148775341797
431667.444562132 5304046.222177317 1054.148775341797
431667.435636975 5304046.236187007 1054.148775341797
431667.425524756 5304046.249365508 1054.148775341797
431667.4143024351 5304046.261612522 1054.148775341797
431667.40205542085 5304046.272834843 1054.148775341797
431667.3888769205 5304046.282947063 1054.148775341797
431667.3748672303 5304046.291872219 1054.148775341797
431667.3601329725 5304046.299542388 1054.148775341797
431667.3447862839 5304046.305899194 1054.148775341797
431667.3289439617 5304046.310894259 1054.148775341797
431667.31272657576 5304046.314489568 1054.148775341797
431667.2962575502 5304046.316657756 1054.148775341797
431667.2796622241 5304046.317382324 1054.148775341797
431667.2630668981 5304046.316657756 1054.148775341797
431667.24659787246 5304046.314489568 1054.148775341797
431667.2303804865 5304046.310894259 1054.148775341797
431667.2145381644 5304046.305899194 1054.148775341797
431667.1991914757 5304046.299542388 1054.148775341797
431667.1844572179 5304046.291872219 1054.148775341797
431667.1704475278 5304046.282947063 1054.148775341797
431667.1572690274 5304046.272834843 1054.148775341797
431667.1450220132 5304046.261612522 1054.148775341797
431667.1337996922 5304046.249365508 1054.148775341797
431667.1236874733 5304046.236187007 1054.148775341797
431667.1147623163 5304046.222177317 1054.148775341797
431667.1070921472 5304046.207443059 1054.148775341797
431667.10073534056 5304046.192096371 1054.148775341797
431667.0957402756 5304046.176254049 1054.148775341797
431667.0921449677 5304046.160036663 1054.148775341797
431667.0899767793 5304046.143567638 1054.148775341797
431667.0892522117 5304046.126972311 1054.148775341797
431667.0899767793 5304046.110376985 1054.148775341797
431667.0921449677 5304046.09390796 1054.148775341797
431667.0957402756 5304046.077690573 1054.148775341797
431667.10073534056 5304046.061848251 1054.148775341797
431667.1070921472 5304046.046501563 1054.148775341797
431667.1147623163 5304046.031767305 1054.148775341797
431667.1236874733 5304046.017757615 1054.148775341797
431667.1337996922 5304046.004579115 1054.148775341797
431667.1450220132 5304045.9923321 1054.148775341797
431667.1572690274 5304045.981109779 1054.148775341797
431667.1704475278 5304045.97099756 1054.148775341797
431667.1844572179 5304045.962072403 1054.148775341797
431667.1991914757 5304045.954402234 1054.148775341797
431667.2145381644 5304045.948045428 1054.148775341797
431667.2303804865 5304045.943050363 1054.148775341797
431667.24659787246 5304045.939455055 1054.148775341797
431667.2630668981 5304045.937286867 1054.148775341797
431667.2796622241 5304045.936562299 1054.148775341797
431667.2962575502 5304045.937286867 1054.148775341797
431667.31272657576 5304045.939455055 1054.148775341797
431667.3289439617 5304045.943050363 1054.148775341797
431667.3447862839 5304045.948045428 1054.148775341797
431667.3601329725 5304045.954402234 1054.148775341797
431667.3748672303 5304045.962072403 1054.148775341797
431667.3888769205 5304045.97099756 1054.148775341797
431667.40205542085 5304045.981109779 1054.148775341797
431667.4143024351 5304045.9923321 1054.148775341797
431667.425524756 5304046.004579115 1054.148775341797
431667.435636975 5304046.017757615 1054.148775341797
431667.444562132 5304046.031767305 1054.148775341797
431667.45223230106 5304046.046501563 1054.148775341797
431667.4585891077 5304046.061848251 1054.148775341797
431667.4635841727 5304046.077690573 1054.148775341797
431667.4671794805 5304046.09390796 1054.148775341797
431667.4693476689 5304046.110376985 1054.148775341797
431643.8608540264 5304073.4641453605 1057.9947836425783
431643.8597159404 5304073.490211814 1057.9947836425783
431643.8563103441 5304073.516079886 1057.9947836425783
431643.8506631561 5304073.541552705 1057.9947836425783
431643.8428173549 5304073.566436407 1057.9947836425783
