fold,epoch,train.mae_xy_radial,train.mae_dbh,train.rmse_x,train.rmse_y,train.rmse_dbh,train.loss,train.xy_loss_unweighted,train.xy_mean_euclidean_error,train.dbh_loss_unweighted,train.xy_loss_weighted,train.dbh_loss_weighted,train.total_loss,val.mae_xy_radial,val.mae_dbh,val.rmse_x,val.rmse_y,val.rmse_dbh,val.loss,val.xy_loss_unweighted,val.xy_mean_euclidean_error,val.dbh_loss_unweighted,val.xy_loss_weighted,val.dbh_loss_weighted,val.total_loss
0,1,1.3132619857788086,0.24164102971553802,2.4445881843566895,1.8206673860549927,0.3138663172721863,9.339942950616448,9.290842056274414,1.3132619857788086,0.04910179227590561,9.290842056274414,0.04910179227590561,9.339943885803223,1.2872734069824219,0.13913697004318237,2.5753941535949707,1.3931280374526978,0.18079312145709991,8.589804322332949,8.573461532592773,1.2872734069824219,0.016343075782060623,8.573461532592773,0.016343075782060623,8.589804649353027
0,2,1.2594369649887085,0.17747655510902405,2.433457851409912,1.7889976501464844,0.2289205938577652,9.14843135405395,9.12222957611084,1.2594369649887085,0.02620231732726097,9.12222957611084,0.02620231732726097,9.148431777954102,1.2637990713119507,0.11200680583715439,2.565838575363159,1.513244867324829,0.14199796319007874,8.883519375646436,8.873438835144043,1.2637990713119507,0.01008171122521162,8.873438835144043,0.01008171122521162,8.883520126342773
0,3,1.2551546096801758,0.16288867592811584,2.4149513244628906,1.8067747354507446,0.21439018845558167,9.119406449087595,9.096426010131836,1.2551546096801758,0.02298157662153244,9.096426010131836,0.02298157662153244,9.119407653808594,1.2016934156417847,0.1264607310295105,2.3421318531036377,1.341919183731079,0.15740731358528137,7.298717922455555,7.28632926940918,1.2016934156417847,0.012388532049953938,7.28632926940918,0.012388532049953938,7.298717975616455
0,4,1.2339599132537842,0.15557827055454254,2.410207509994507,1.788785696029663,0.20057104527950287,9.028967957880537,9.008853912353516,1.2339599132537842,0.020114371553063393,9.008853912353516,0.020114371553063393,9.02896785736084,1.2194775342941284,0.1239200159907341,2.704359292984009,1.3980541229248047,0.17825639247894287,9.283932200154743,9.26811408996582,1.2194775342941284,0.015818294137716293,9.26811408996582,0.015818294137716293,9.28393268585205
0,5,1.248299241065979,0.15036530792713165,2.4037187099456787,1.7538546323776245,0.19379010796546936,8.872646310369847,8.85386848449707,1.248299241065979,0.018777303397655487,8.85386848449707,0.018777303397655487,8.872645378112793,1.2588090896606445,0.09091103076934814,2.7421576976776123,1.4515676498413086,0.12466008216142654,9.634247640097463,9.626477241516113,1.2588090896606445,0.007770068012177944,9.626477241516113,0.007770068012177944,9.634247779846191
0,6,1.260719895362854,0.13135488331317902,2.4104762077331543,1.7256720066070557,0.16758836805820465,8.802382078615286,8.788339614868164,1.260719895362854,0.01404293067753315,8.788339614868164,0.01404293067753315,8.802382469177246,1.2575832605361938,0.10246440023183823,2.4631004333496094,1.3440982103347778,0.13430137932300568,7.882481955998653,7.873464107513428,1.2575832605361938,0.00901843048632145,7.873464107513428,0.00901843048632145,7.882482528686523
0,7,1.2592421770095825,0.128355011343956,2.3588359355926514,1.7458560466766357,0.166456401348114,8.625974863868649,8.612120628356934,1.2592421770095825,0.01385386660695076,8.612120628356934,0.01385386660695076,8.625974655151367,1.2561105489730835,0.09249810129404068,2.370316982269287,1.4495370388031006,0.117928147315979,7.726513218638059,7.719560146331787,1.2561105489730835,0.006953523959964514,7.719560146331787,0.006953523959964514,7.726513862609863
0,8,1.2447673082351685,0.12815316021442413,2.4072470664978027,1.6651428937911987,0.16485244035720825,8.581126626366276,8.567538261413574,1.2447673082351685,0.013588163070380688,8.567538261413574,0.013588163070380688,8.58112621307373,1.2448344230651855,0.08129177987575531,2.520575523376465,1.5774685144424438,0.122388556599617,8.849196702644631,8.841708183288574,1.2448344230651855,0.007489479146897793,8.841708183288574,0.007489479146897793,8.849197387695312
0,9,1.263515830039978,0.12253505736589432,2.419395923614502,1.7618199586868286,0.1580934077501297,8.96998326950154,8.957486152648926,1.263515830039978,0.012496761977672577,8.957486152648926,0.012496761977672577,8.969983100891113,1.1867015361785889,0.09886714816093445,2.4641640186309814,1.339056372642517,0.12594640254974365,7.873107400294897,7.865174770355225,1.1867015361785889,0.007931247353553772,7.865174770355225,0.007931247353553772,7.873106002807617
0,10,1.2436604499816895,0.11876353621482849,2.333371162414551,1.7238893508911133,0.15432339906692505,8.428322853981438,8.416414260864258,1.2436604499816895,0.011907855980098248,8.416414260864258,0.011907855980098248,8.428321838378906,1.3931795358657837,0.08290260285139084,2.643740653991699,1.4531004428863525,0.11621376127004623,9.107618548580119,9.100865364074707,1.3931795358657837,0.006752819288522005,9.100865364074707,0.006752819288522005,9.10761833190918
0,11,1.2311110496520996,0.11031652987003326,2.437694787979126,1.7224808931350708,0.14553414285182953,8.919887811652684,8.909296989440918,1.2311110496520996,0.01059009414166212,8.909296989440918,0.01059009414166212,8.91988754272461,1.2145766019821167,0.11736488342285156,2.500601291656494,1.389494776725769,0.14478155970573425,8.194182436208468,8.18370246887207,1.2145766019821167,0.0104808509349823,8.18370246887207,0.0104808509349823,8.194183349609375
