name,species,plot_id,dbh_cm,inv_height_m,pc_height_m,crown_area,n_points,ground_pct,z_p05,z_p50,z_p95,flag_ground,flag_dbh,flag_height,flag_crown,flag_height_mismatch
10_44,Beech,10.0,9.2,28.93014632,10.03,15.53,37297,0.027,0.9400000000000546,6.480000000000018,9.120000000000005,False,False,False,False,True
10_45,Beech,10.0,18.5,26.21134435,27.2,13.74,96132,0.006,5.780000000000086,20.220000000000027,25.050000000000068,False,False,False,False,False
10_46,Beech,10.0,49.0,29.73376809,30.12,98.69,666900,0.002,14.480000000000018,22.769999999999982,27.850000000000023,False,False,False,False,False
10_47,Beech,10.0,29.0,,27.49,22.34,146724,0.003,7.519999999999982,22.620000000000005,26.06000000000006,False,False,False,False,False
10_48,Beech,10.0,17.8,26.40703214,24.34,57.15,119154,0.002,4.860000000000014,14.68999999999994,21.389999999999986,False,False,False,False,False
10_49,Beech,10.0,8.0,27.64987586,11.75,16.81,35060,0.01,1.2200000000000273,6.509999999999991,9.240000000000009,False,False,False,False,True
10_5,Beech,10.0,11.1,,18.02,77.91,244538,0.002,3.2100000000000364,12.419999999999959,16.350000000000023,False,False,False,False,False
10_50,Larch,10.0,47.7,31.12310814,31.25,71.44,569296,0.001,14.319999999999936,23.18999999999994,28.559999999999945,False,False,False,False,False
10_51,Beech,10.0,9.2,,2.33,5.22,7962,0.056,0.4800000000000182,1.4600000000000364,2.1100000000000136,False,False,False,False,False
10_52,Beech,10.0,14.3,28.48476425,22.79,27.74,65718,0.003,1.4200000000000728,8.300000000000068,14.160000000000082,False,False,False,False,True
10_53,Beech,10.0,36.3,27.91861285,28.15,69.31,313744,0.002,7.720000000000027,20.960000000000036,25.82000000000005,False,False,False,False,False
10_54,Beech,10.0,9.5,27.77662288,3.41,2.54,2902,0.061,0.42999999999995,2.25,3.1100000000000136,False,False,False,False,True
10_55,Beech,10.0,7.6,,18.02,51.63,344644,0.002,3.8700000000000045,11.659999999999968,15.970000000000027,False,False,False,False,False
10_56,Beech,10.0,8.0,29.12454544,12.61,215.08,266465,0.002,1.3400000000000318,2.8899999999999864,9.450000000000045,False,False,False,True,True
10_57,Beech,10.0,39.2,29.14218189,11.82,18.47,36586,0.018,1.2699999999999818,7.384999999999991,10.629999999999995,False,False,False,False,True
10_58,Beech,10.0,32.8,27.91223472,22.07,63.91,198635,0.001,7.6200000000000045,15.309999999999945,20.470000000000027,False,False,False,False,True
10_59,Beech,10.0,32.8,29.10509913,10.78,0.86,11383,0.064,0.39999999999997726,6.710000000000036,10.350000000000023,False,False,False,False,True
10_6,Beech,10.0,12.7,27.91174686,10.88,25.84,41603,0.018,0.9099999999999682,4.830000000000041,9.800000000000068,False,False,False,False,True
10_60,Beech,10.0,14.0,28.45460079,12.08,58.98,415620,0.004,3.2999999999999545,7.819999999999936,10.579999999999927,False,False,False,False,True
10_61,Beech,10.0,8.3,28.93014632,19.05,30.53,168429,0.004,6.2000000000000455,14.06000000000006,17.040000000000077,False,False,False,False,True
10_62,Beech,10.0,13.7,28.18457353,9.65,27.34,266105,0.001,2.1299999999999955,5.789999999999964,7.8700000000000045,False,False,False,False,True
10_63,Beech,10.0,9.9,29.0975455,19.86,14.76,87110,0.008,1.4800000000000182,7.159999999999968,17.629999999999995,False,False,False,False,True
10_64,Beech,10.0,12.7,28.80781542,15.64,19.01,65398,0.009,3.1000000000000227,10.899999999999977,15.07000000000005,False,False,False,False,True
10_65,Beech,10.0,20.7,29.20251885,28.7,17.58,177568,0.004,9.190000000000055,22.600000000000023,26.450000000000045,False,False,False,False,False
10_66,Beech,10.0,13.1,27.53030438,22.39,13.01,67192,0.005,1.5500000000000682,8.900000000000091,17.33000000000004,False,False,False,False,True
10_67,Beech,10.0,15.9,28.77303637,21.18,31.13,130705,0.003,2.5,13.720000000000027,18.950000000000045,False,False,False,False,True
10_68,Beech,10.0,39.8,29.82263469,30.01,67.4,430046,0.002,12.470000000000027,25.120000000000005,28.340000000000032,False,False,False,False,False
10_69,Beech,10.0,40.1,28.3435397,7.2,10.96,25609,0.027,0.7100000000000364,3.1000000000000227,6.509999999999991,False,False,False,False,True
10_7,Beech,10.0,9.5,27.03780042,6.05,11.02,19701,0.005,1.3100000000000591,3.5,5.509999999999991,False,False,False,False,True
10_70,Beech,10.0,12.7,29.63838418,3.19,471.73,172835,0.005,1.0,1.919999999999959,2.3899999999999864,False,False,False,True,True
10_71,Beech,10.0,6.4,,17.93,66.31,324163,0.002,4.669999999999959,11.680000000000064,15.740000000000009,False,False,False,False,False
10_72,Beech,10.0,40.7,29.55661247,12.18,3.05,19861,0.044,0.5699999999999363,6.0499999999999545,11.469999999999914,False,False,False,False,True
10_73,Beech,10.0,29.3,27.87090585,28.21,31.77,189886,0.002,7.82000000000005,22.480000000000018,26.340000000000032,False,False,False,False,False
10_74,Beech,10.0,12.7,,4.3,59.77,27784,0.218,0.22000000000002728,1.0599999999999454,3.409999999999968,False,False,False,False,False
10_75,Beech,10.0,37.6,,16.03,5.93,29746,0.023,0.8399999999999181,3.75,7.739999999999895,False,False,False,False,False
10_76,Beech,10.0,10.8,,20.25,28.38,74872,0.005,1.67999999999995,8.899999999999977,17.339999999999918,False,False,False,False,False
10_77,Beech,10.0,51.2,28.19199028,29.27,109.93,288277,0.002,8.598000000000013,22.069999999999936,26.68999999999994,False,False,False,False,False
10_78,Beech,10.0,9.5,28.38221464,10.19,14.45,22920,0.006,2.4200000000000728,6.4500000000000455,9.790000000000077,False,False,False,False,True
10_79,Beech,10.0,16.9,27.32296162,23.85,55.62,126418,0.002,5.009999999999991,13.360000000000014,19.99000000000001,False,False,False,False,False
10_8,Beech,10.0,41.4,27.29094893,15.11,3.67,18750,0.027,0.8099999999999454,7.029999999999973,12.850000000000023,False,False,False,False,True
10_80,Beech,10.0,11.5,27.74575139,12.87,28.21,50643,0.003,1.6400000000001,8.270000000000095,12.270000000000095,False,False,False,False,True
10_9,Beech,10.0,10.8,,16.32,64.93,161940,0.004,4.0499999999999545,10.449999999999932,13.67999999999995,False,False,False,False,False
11_1,Beech,11.0,23.6,,6.57,32.65,22229,0.025,0.953999999999929,5.669999999999959,6.279999999999973,False,False,False,False,False
11_10,Spruce,11.0,54.7,32.87539681,11.44,36.07,64464,0.005,1.6999999999999318,5.17999999999995,10.42999999999995,False,False,False,False,True
11_101,Beech,11.0,27.4,25.82764222,10.21,0.48,7871,0.003,1.7149999999999181,5.67999999999995,9.739999999999895,False,False,False,False,True
11_102,Spruce,11.0,56.0,29.46841638,33.6,49.91,618084,0.0,15.649999999999977,23.479999999999905,30.67999999999995,False,False,False,False,False
11_103,Spruce,11.0,18.5,26.30095338,19.11,21.2,123376,0.003,4.809999999999945,14.049999999999955,17.75999999999999,False,False,False,False,True
